,unit,ticker,exchangeCD,utcOffset,currencyCD,barTime,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue
39,1,1,XSHE,+08:00,CNY,10:09,8.7,8.7,8.71,8.69,133100,1157974
40,1,1,XSHE,+08:00,CNY,10:10,8.7,8.69,8.7,8.69,145200,1262318
41,1,1,XSHE,+08:00,CNY,10:11,8.68,8.69,8.7,8.68,92800,806556
42,1,1,XSHE,+08:00,CNY,10:12,8.68,8.68,8.69,8.68,63200,548690
43,1,1,XSHE,+08:00,CNY,10:13,8.68,8.69,8.69,8.68,52000,451594
44,1,1,XSHE,+08:00,CNY,10:14,8.69,8.69,8.69,8.68,91100,791098
45,1,1,XSHE,+08:00,CNY,10:15,8.69,8.68,8.7,8.68,185220,1609448.8
46,1,1,XSHE,+08:00,CNY,10:16,8.69,8.7,8.7,8.69,98700,857954
47,1,1,XSHE,+08:00,CNY,10:17,8.69,8.69,8.7,8.69,128800,1119863
48,1,1,XSHE,+08:00,CNY,10:18,8.7,8.7,8.7,8.69,82900,721011
49,1,1,XSHE,+08:00,CNY,10:19,8.7,8.69,8.7,8.69,125240,1089219.6
50,1,1,XSHE,+08:00,CNY,10:20,8.7,8.69,8.7,8.69,458600,3988810
51,1,1,XSHE,+08:00,CNY,10:21,8.69,8.69,8.7,8.69,152360,1324600.4
52,1,1,XSHE,+08:00,CNY,10:22,8.7,8.69,8.7,8.68,179460,1560527.8
53,1,1,XSHE,+08:00,CNY,10:23,8.7,8.69,8.71,8.69,349104,3036596.8
54,1,1,XSHE,+08:00,CNY,10:24,8.7,8.7,8.71,8.69,1213296,10555667.2
55,1,1,XSHE,+08:00,CNY,10:25,8.7,8.7,8.71,8.7,413504,3597732.8
56,1,1,XSHE,+08:00,CNY,10:26,8.7,8.7,8.71,8.69,316196,2750767.2
57,1,1,XSHE,+08:00,CNY,10:27,8.69,8.69,8.7,8.69,319171,2775356.99
58,1,1,XSHE,+08:00,CNY,10:28,8.69,8.69,8.7,8.69,165100,1435783
59,1,1,XSHE,+08:00,CNY,10:29,8.7,8.69,8.7,8.69,169400,1473310
60,1,1,XSHE,+08:00,CNY,10:30,8.69,8.69,8.7,8.69,125719,1092665.11
61,1,1,XSHE,+08:00,CNY,10:31,8.7,8.69,8.7,8.69,93499,812710.31
62,1,1,XSHE,+08:00,CNY,10:32,8.7,8.69,8.7,8.69,231460,2013321.4
63,1,1,XSHE,+08:00,CNY,10:33,8.7,8.7,8.7,8.69,72980,634375.2
